苹果园,古城
鼓楼大街,积水潭,安定门,安德里北街,什刹海
雍和宫,安定门,东直门,北新桥,和平里北街
东直门,雍和宫,东四十条,柳芳,三元桥
朝阳门,东四十条,建国门,东四,东大桥
崇文门,建国门,前门,磁器口,东单
宣武门,和平门,长椿街,菜市口,西单
车公庄,阜成门,西直门,车公庄西,平安里
西苑,圆明园,北宫门,农大南路
海淀黄庄,人民大学,中关村,苏州街,知春里
国家图书馆,动物园,魏公村,白石桥南
平安里,西四,新街口,车公庄,北海北
北京南站,永定门外
角门西,公益西桥,马家堡,角门东,草桥
立水桥,立水桥南,天通苑南,霍营,北苑
大屯路东,惠新西街北口,北苑路北,安立路,关庄
惠新西街南口,和平西桥,惠新西街北口,安贞门,芍药居
东四,灯市口,张自忠路,南锣鼓巷,朝阳门
蒲黄榆,刘家窑,天坛东门,景泰,方庄
宋家庄,刘家窑,成寿寺,石榴庄,肖村
慈寿寺,海淀五路居,花园桥,西钓鱼台,车道沟
白石桥南,花园桥,车公庄西,白堆子,国家图书馆
南锣鼓巷,北海北,东四,什刹海
金台路,呼家楼,十里堡,大望路,朝阳公园
菜市口,陶然亭,宣武门,广安门内,虎坊桥
磁器口,天坛东门,崇文门,桥湾,广渠门内
九龙山,双井,大郊亭,平乐园,大望路
朱辛庄,育知路,生命科学园,巩华城
霍营,回龙观东大街,育新,回龙观,立水桥
奥林匹克公园,森林公园南门,奥体中心,北沙滩,安立路
郭公庄,丰台科技园,大葆台,首经贸
七里庄,丰台东大街,六里桥
六里桥,七里庄,六里桥东,西局,莲花桥
西局,泥洼,六里桥,大井
巴沟,巴沟,苏州街,颐和园西门
知春路,知春里,西土城,大钟寺,五道口
北土城,奥体中心,安华桥,健德门,安贞门
芍药居,惠新西街南口,太阳宫,望京西,光熙门
三元桥,太阳宫,亮马桥,东直门,T3航站楼
呼家楼,东大桥,金台路,团结湖,金台夕照
十里河,潘家园,分钟寺,方庄,北工大西门
西二旗,上地,龙泽,生命科学园
望京西,北苑,芍药居,关庄,望京
望京,阜通,东湖渠,望京西,望京东
阎村东,苏庄,紫草坞
北京西站,湾子,六里桥东,军事博物馆
