莲花桥,六里桥,北京地铁10号线
莲花桥,公主坟,北京地铁10号线
西钓鱼台,公主坟,北京地铁10号线
西钓鱼台,慈寿寺,北京地铁10号线
车道沟,慈寿寺,北京地铁10号线
车道沟,长春桥,北京地铁10号线
长春桥,车道沟,北京地铁10号线
长春桥,火器营,北京地铁10号线
火器营,长春桥,北京地铁10号线
火器营,巴沟,北京地铁10号线
苏州街,巴沟,北京地铁10号线
苏州街,海淀黄庄,北京地铁10号线
知春里,海淀黄庄,北京地铁10号线
知春里,知春路,北京地铁10号线
西土城,知春路,北京地铁10号线
西土城,牡丹园,北京地铁10号线
牡丹园,西土城,北京地铁10号线
牡丹园,健德门,北京地铁10号线
健德门,牡丹园,北京地铁10号线
健德门,北土城,北京地铁10号线
安贞门,北土城,北京地铁10号线
安贞门,惠新西街南口,北京地铁10号线
太阳宫,芍药居,北京地铁10号线
太阳宫,三元桥,北京地铁10号线
亮马桥,三元桥,北京地铁10号线
亮马桥,农业展览馆,北京地铁10号线
农业展览馆,亮马桥,北京地铁10号线
农业展览馆,团结湖,北京地铁10号线
团结湖,农业展览馆,北京地铁10号线
团结湖,呼家楼,北京地铁10号线
金台夕照,呼家楼,北京地铁10号线
金台夕照,国贸,北京地铁10号线
双井,广渠门外,北京地铁7号线
双井,九龙山,北京地铁7号线
双井,国贸,北京地铁10号线
双井,劲松,北京地铁10号线
劲松,双井,北京地铁10号线
劲松,潘家园,北京地铁10号线
潘家园,劲松,北京地铁10号线
潘家园,十里河,北京地铁10号线
分钟寺,十里河,北京地铁10号线
分钟寺,成寿寺,北京地铁10号线
成寿寺,分钟寺,北京地铁10号线
成寿寺,宋家庄,北京地铁10号线
石榴庄,宋家庄,北京地铁10号线
石榴庄,大红门,北京地铁10号线
大红门,石榴庄,北京地铁10号线
大红门,角门东,北京地铁10号线
角门东,大红门,北京地铁10号线
角门东,角门西,北京地铁10号线
草桥,角门西,北京地铁10号线
草桥,纪家庙,北京地铁10号线
纪家庙,草桥,北京地铁10号线
纪家庙,首经贸,北京地铁10号线
首经贸,纪家庙,北京地铁10号线
首经贸,泥洼,北京地铁10号线
首经贸,郭公庄,北京地铁房山线
大钟寺,西直门,北京地铁13号线
大钟寺,知春路,北京地铁13号线
五道口,知春路,北京地铁13号线
五道口,清华东路西口,北京地铁13号线
上地,清华东路西口,北京地铁13号线
上地,西二旗,北京地铁13号线
龙泽,西二旗,北京地铁13号线
龙泽,回龙观,北京地铁13号线
回龙观,龙泽,北京地铁13号线
回龙观,霍营,北京地铁13号线
北苑,立水桥,北京地铁13号线
北苑,望京西,北京地铁13号线
光熙门,芍药居,北京地铁13号线
光熙门,柳芳,北京地铁13号线
柳芳,光熙门,北京地铁13号线
柳芳,东直门,北京地铁13号线
大井,郭庄子,北京地铁14号线西段
大井,西局,北京地铁14号线西段
郭庄子,大瓦窑,北京地铁14号线西段
郭庄子,大井,北京地铁14号线西段
大瓦窑,园博园,北京地铁14号线西段
大瓦窑,郭庄子,北京地铁14号线西段
园博园,张郭庄,北京地铁14号线西段
园博园,大瓦窑,北京地铁14号线西段
张郭庄,园博园,北京地铁14号线西段
善各庄,来广营,北京地铁14号线东段
来广营,东湖渠,北京地铁14号线东段
来广营,善各庄,北京地铁14号线东段
东湖渠,望京,北京地铁14号线东段
东湖渠,来广营,北京地铁14号线东段
阜通,望京南,北京地铁14号线东段
阜通,望京,北京地铁14号线东段
望京南,将台,北京地铁14号线东段
望京南,阜通,北京地铁14号线东段
将台,东风北桥,北京地铁14号线东段
将台,望京南,北京地铁14号线东段
东风北桥,枣营,北京地铁14号线东段
东风北桥,将台,北京地铁14号线东段
枣营,朝阳公园,北京地铁14号线东段
枣营,东风北桥,北京地铁14号线东段
朝阳公园,金台路,北京地铁14号线东段
朝阳公园,枣营,北京地铁14号线东段
平乐园,北工大西门,北京地铁14号线东段
平乐园,九龙山,北京地铁14号线东段
北工大西门,十里河,北京地铁14号线东段
北工大西门,平乐园,北京地铁14号线东段
方庄,蒲黄榆,北京地铁14号线东段
方庄,十里河,北京地铁14号线东段
景泰,永定门外,北京地铁14号线东段
景泰,蒲黄榆,北京地铁14号线东段
